"buchtitel","auflage","publikationsjahr"
"Das Wunder von Bernd","Orig.-Ausg., 1. Aufl.",2014
"Das Zeitalter der Karotten","1. Auflage",2021
"Das Zeitschiff der Tannari",NULL,2011
"Das zerbrochene Mädchen und andere Erzählungen","Dt. Erstveröff., 1. Aufl.",2011
"Das zerfallende Glück","1. Auflage",2017
"Das Zimmerchen und 16 weitere fein gesponnene Geschichten seltsamer Art",NULL,2017
"Das zweite Leben","1. Auflage",2021
"Das zwischen Männern und Frauen","Originalausgabe, 1. Auflage",2017
"Dat fängt in Kopp an","1. Auflage",2017
"Dat gaiht doch glatt bitau","1. Auflage",2017
"Dat Harze bubbert",NULL,2013
"Dat Siegerland",NULL,2010
"Dat wor et dann ...","1. Auflage",2018
"Dauergast in Darjeeling","1. Aufl.",2014
"Dauernd is irgendwas","1. Aufl.",2011
"Davon schwimmen",NULL,2015
"Da war doch noch was","1. Auflage",2019
"Da, wo ich herkomm","1. Auflage",2017
"Da Woid is mei Hoamat",NULL,2008
"Dead End","1. Auflage",2017
"Deadly running","1. Auflage",2020
"Death Jokers Motorcycle Club","1. Auflage",2021
"Death Mirror","1. Auflage",2019
"Decisions of Love - Band 1 und 2",NULL,2023
"Decisions of Love - Band 3 und 4",NULL,2023
"Deck mich zu, wenn du fertig bist","1. Auflage",2023
"Deer driif en heef foont sööden jurt",NULL,2017
"De Freggerd",NULL,2008
"De gesungene Speisekart",NULL,2009
"De Gewinn",NULL,2009
"De Hunsrick is mei Welt",NULL,2022
"Dein Alter ist kaum in Torte zu fassen",NULL,2023
"Dein bestes Alter ist jetzt!",NULL,2022
"Deine Gier kennt keine Grenzen","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Deinen Schlägen ergeben","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2018
"Deiner Dominanz ergeben","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Deine Schmerzen, unsere Lust","1. Aufl.",2012
"Deine Stimme hing in den Bäumen",NULL,2008
"Dein gieriges Verlangen","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Dein heißes Verlangen","1. Auflage",2020
"Dein ist mein ganzes Herz","Originalausgabe",2019
"Dein Klang in mir","1. Auflage",2018
"Dein Körper - meine Regeln","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Dein Schatten tanzt in der Küche","1. Auflage",2021
"Dein wildes Verlangen","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2022
"Dein Wort in Gottes Ohr",NULL,2012
"Déjà-vu","1. Auflage",2020
"Dekamerone","1. Auflage",2020
"De Kuckuck röppt all wedder",NULL,2009
"Delikate Geschichten",NULL,2010
"Delikt und Sühne",NULL,2014
"Deltaland",NULL,2023
"Dem Dichter sein Richter","Taschenbuchausg., 1. Aufl.",2014
"Demenz-Anekdoten und Cartoons zum Schmunzeln","1. Auflage",2018
"Dem Fröhlichen schlägt keine Stunde",NULL,2016
"Dem Garten Eden abgeschaut, Mensch und Landschaft, Gedichte und Grafiken","1. Auflage",2018
"Dem guten Tag flieht nie die Nacht","1. Aufl.",2013
"Dem Kölnbarde sing Krätzcher","1. Aufl.",2012
"Dem Leben begegnen","1. Aufl.",2011
"Dem Leben nachgezeichnet","1. Aufl.",2012
"Dem Leben und dem Wind abgelauscht","1. Auflage",2019
"Dem Mensch sein bester Kumpel","1. Aufl.",2012
"Demolition Derby",NULL,2023
"Dem Otto sein Leben von Bismarck","Orig.-Ausg.",2015
"Demütig","1. Aufl.",2008
"Den Bach rauf",NULL,2009
"Den Bach runter",NULL,2009
"Den Faden aufnehmen","1. Aufl.",2009
"Denke an mich",NULL,2019
"Denken mit dem Knie und andere fast wahre Geschichten",NULL,2008
"Denken wir uns",NULL,2008
"Denk ich an den Bodensee ...",NULL,2015
"Denk ich an früher ...",NULL,2017
"Denk ich an Weihnachten im April",NULL,2010
"Den Letzten küssen die Hunde",NULL,2012
"Den Löwenzahn zermalmt nicht die Kesselpauke oder Hinwendung zur Geborgenheit",NULL,2018
"Den Mond einfangen","1. Aufl.",2012
"Den Musil spreng ich in die Luft",NULL,2011
"... denn das Leben erzählt die seltsamsten Geschichten","1. Auflage",2023
"Denn die Liebe hört niemals auf",NULL,2009
"Denn ich bin ihre Mutter",NULL,2014
"Denn ich kann dich nicht begleiten",NULL,2021
"Denn im Herzen bin ich immer noch jung",NULL,2012
"„... denn jetzt hat meine Sehnsucht Bilder“",NULL,2010
"...denn morgen war auch noch ein Tag","1. Auflage",2021
"Denn unser Leben ist tierisch lustig","1. Aufl.",2014
"Den Schwarzwald im Rücken",NULL,2010
"Den Tag entlang",NULL,2011
"Den Wandel durchleben und Gott vertrauen",NULL,2020
"Den Wellen gegenüber","1. Auflage",2019
"de occultis - Die Kurzgeschichten","1. Auflage",2022
"De oole Eekboom oder die alte knorrige Eiche am Wegesrand",NULL,2010
"De Paster kummt","1. Aufl.",2008
"De platte Wiehnachtsmann","1. Ausg.",2008
"Deppentango",NULL,2018
"Deputy Dread und andere Geschichten",NULL,2017
"Der 7. September - ein Tag in der Geschichte der Familie Gregor","1. Auflage",2022
"Der Abgeordnete",NULL,2012
"Der abgetrennte Kopf",NULL,2012
"Der achtzigste Geburtstag",NULL,2012
"Der Affe mit der Gießkanne",NULL,2023
"Der Aldler Peterl",NULL,2014
"Der Alltag birgt Geschichten, die muss man einfach dichten!",NULL,2010
"Der Alltag ist makaber","1. Auflage",2015
"Der alltägliche Schiller","1. Aufl.",2009
"Der alltägliche Wahnsinn",NULL,2010
"Der Alltagsengel",NULL,2010
"Der Altar des Wahnsinns und andere Erzählungen",NULL,2022
"Der alte Friedhof",NULL,2014
"Der alte Hund",NULL,2017
"Der alte Kater oder Mein Leben als Single wider Willen","Originalausgabe",2020
"Der alte Mann in den Bergen",NULL,2017
"Der alte Mann und die Glatt",NULL,2014
"Der Altenpfleger","1. Aufl.",2011
"Der Altersweise",NULL,2012
"Der alte Schuppen und andere Geschichten","1. Auflage",2022
"Der alte Strom muss raus!","1. Aufl.",2013
"Der alte Tinus und die Magie der Runen","1. Auflage",2019
"Der Alte vom Müssenberge und andere Geschichten",NULL,2017
"Der alte weiße Mann",NULL,2021
"Der Ameisengott und zwei andere Erzählungen","Erste Auflage",2018
"Der Analphabet und der Menschenretter","1. Auflage",2020
"Der Andere","1. Aufl.",2008
"Der andere Ort - und weitere Kurzgeschichten",NULL,2013
"Der Anfang","1. Aufl.",2011
"Der Anrufabschrecker und seine lustigen Geschichten","1. Aufl.",2009
"Der Anti-Struwwelpeter","Neuausg.",2009
"Der Antrag","1. Auflage",2020
"Der Apfel auf dem Tisch","1. Auflage",2016
"Der Apfelbaum im Schnee",NULL,2012
"Der Apfel ... c'est si bon ... biss nin",NULL,2013
"Der Apfel fiel aus Venus' linker Hand","Erste Auflage",2015
"Der Apfelkönig und andere Geschichten",NULL,2011
"Der aphrodisiasche Ton",NULL,2015
"Der Arsch auf dem Sessel","Orig.-Ausg.",2008
"DER ATEM DER SONNE","1. Auflage",2023
"Der Atemzug vor dem Schrei","1. Auflage",2018
"Der Auftragsmörder & und andere reizende Leute","1. Auflage",2022
"Der Augsburger Kreidekreis und andere Erzählungen",NULL,2020
"Der Auserwählte","1. Auflage",2020
"Der Außerirdische",NULL,2022
"Der Autostopper","1. Aufl.",2014
"Der Babysitter und andere Geschichten","1. Auflage",2018
"Der Bach, der aus dem Wasser wollte","1. Auflage",2023
"Der Bäcker im Berg",NULL,2011
"Der Baron","1. Auflage",2020
"Der Basilikumdrache","1. Aufl.",2011
"Der Bauchfleckmeister",NULL,2014
"DER BAUCH MEINER SCHWESTER - EIN PERFEKTES PAAR - DIESES JÄHE VERSTUMMEN","1. Auflage",2017
"Der baumelnde Storch","1. Auflage",2019
"Der bayerische Jack the Ripper","1. Auflage",2018
"Der beflügelte Kaktus","Auftr.-Veröff.",2014
"Der Beginn","Vollständige epub-to-Print-Ausgabe, 1. Aufl.",2016
"Der Begleiter","Erste Auflage",2015
"Der bengalische Flip-Flop","Dt. Erstausg., 1. Aufl.",2013
"Der Berg der Vergessenheit","1. Aufl.",2013
"Der besoffene Geist und andere Geschichten","1. Auflage",2021
"Der Besserer","1. Auflage",2017
"Der beste aller Männer","Orig.-Ausg., 1. Aufl.",2008
"Der beste Fisch vom Schauspielhaus","1. Auflage",2021
"Der beste Staat",NULL,2018
"Der Besuch der Mutter","1. Auflage",2021
"Der Besuch und andere Erzählungen","Originalausgabe",2019
"Der betrogene Erbschleicher","1. Aufl.",2008
"Der Bettler, der Glück bringt","1. Aufl.",2012
"Der BildungsStruwwelpeter","1. Aufl.",2010
"Der blaue Hahn und andere kurze Geschichten","Orig.-Ausg., 1. Aufl.",2013
"Der blaue Hugo",NULL,2013
"Der blaue Lift","1. Auflage",2023
"Der blaue Schuhkarton","1. Aufl.",2014
"Der blaue Stuhl und andere Geschichten","1. Aufl.",2012
"DER BLECHSTERN","1. Auflage",2020
"Der Blick aus dem Fenster",NULL,2015
"Der Blick aus dem Küchenfenster","1. Auflage",2022
"Der Blick der Liebe","1. Auflage",2023
"Der Blick der Wenqian Chi","1. Auflage",2023
"Der Blick des Leguans",NULL,2017
"Der Blick in den Spiegel offenbart die kosmische Mutter","1. Auflage",2020
"Der Blinde hat ein Auge und ist König",NULL,2020
"Der blinde Tenor",NULL,2012
"Der Blinde und der Elephant","1. Auflage",2017
"Der Blumenschreck","1. Aufl.",2010
"Der Bonbonmann",NULL,2011
"Der böse Mensch","Erste Auflage",2017
"Der Bourbon des Grafikers","1. Auflage",2019
"Der brennende Adventskranz","1. Aufl.",2011
"Der Brillenbaum",NULL,2010
"Der Büchernarr und andere Geschichten","1. Auflage",2017
"Der Buckelspringer","1. Aufl.",2014
"Der Buddha mit den verbundenen Augen","Korrigierte Fassung",2016
"Der China-Schmitt",NULL,2018
"Der chinesische Vogelhändler","1. Auflage",2021
"Der Choral",NULL,2011
"DER COLT IST IHR GESETZ –","1. Auflage",2021
"DER COLT IST IHR GESETZ – Western-Sonderedition: Drei Romane und eine Kurzgeschichte","1. Auflage",2021
"Der Commissaire und andere unfreundliche Geschichten","1. Auflage",2018
"Der Condor kreist nicht mehr","1. Aufl.",2013
"Der Dachziegel ... und andere Pillnitzer Geschichten","Erste Auflage",2021
"Der dämonische Liebhaber","Orig.-Ausg.",2009
"Der de Luca Clan","1. Auflage",2023
"Der den Sturm stillt","1. Aufl.",2015
"Der Dichter und sein virtueller Sohn",NULL,2023
"Der - die - das Puff und weitere lebensnahe Kurzgeschichten",NULL,2017
"Der Dietrich - der Lebenssaft des kritischen Denkens",NULL,2023
"Der Dom ist mein Freund",NULL,2009
"Der Doppelgänger",NULL,2017
"Der doppelte Bruddler","1. Ausg.",2013
"Der doppelte Regenbogen ... und 20 andere mystische Geschichten","Erstausgabe",2016
"Der doppelte Stadtplan","1. Auflage",2019
"Der dreibeinige Esel … und andere Geschichten für Senioren","1. Auflage",2022
"Der Dreißigjährige Krieg Band 1-3: Der Winterkönig/ Der tolle Halberstädter/ Der Hexenbrenner","1. Originalausgabe",2020
"Der Dreißigjährige Krieg. Die große Roman-Reihe, Band 1 und 2 (Der Winterkönig/ Der tolle Halberstädter) in einem Bundle","1. Originalausgabe, revidierte Ausgabe, erweiterte Ausgabe",2018
"Der Dreiundvierzigjährige, der aus der Haustür trat und spazieren ging","Originalausgabe, 1. Auflage",2018
"Der dreizehnte Zopf",NULL,2014
"Der Drippendeller und andere Geschichten",NULL,2008
"Der dritte Marburger Krimi-Cocktail","1. Erstauflage",2018
"Der du bist und mich kennst - und andere Erzählungen",NULL,2019
"Der Duft der Kindheit",NULL,2010
"Der Duft der Zuckerpflanze und andere fiese Geschichten","Originalausgabe",2021
"Der Duft des Doppelpunktes",NULL,2010
"Der Duft des Sussita","1. Auflage",2020
"Der Duft des Weihrauchs",NULL,2019
"Der Duft von Sonne und Meer","1. Aufl.",2012
"Der Dung",NULL,2020
"Der dunkle Garten","1. Auflage",2022
"Der dunkle Pfad","1. Auflage",2022
"Der Durandl",NULL,2009
"Der Durchstreicher","Orig.-Ausg., 1. Aufl.",2012
"Der Durst der Stadt und andere SF-Geschichten",NULL,2014
"Der Echo-Komplex",NULL,2010
"Der Eifelmaler","1. Auflage",2022
"Der einsame Fels",NULL,2008
"Der einsame Kandidat","1. Aufl.",2008
"Der Einzelgänger","1. Aufl.",2010
"De Reis ne mie",NULL,2013
"Der Elefant ist los",NULL,2012
"Der elitäre Hypochonder","1. Aufl.",2011
"Der Engel","1. Auflage",2016
"Der Engel, der seine Flügel verbrannte","1. Auflage",2017
"Der Engelkönig blies ins Horn","1. Aufl.",2009
"Der Engel mit dem Marmorkuchen",NULL,2019
"Der Engel sagte: er ist da",NULL,2021
"Der Engel und die Taube",NULL,2008
"Der Enkeltrick","1. Auflage",2021
"Der Entenschatten","1. Auflage",2023
"Der entschwundene Garten",NULL,2015
"Der Erde auf der Spur","1. Auflage",2016
"Der erfüllte Traum","1. Aufl.",2008
"Der erste Satz","1. Aufl.",2014
"Der Erwin",NULL,2008
"Der Erzähler von Algier",NULL,2017
"Der etwas andere Kurzgeschichten-Adventskalender","1. Auflage",2020
"Der Eugen",NULL,2009
"Der Fährmann und andere Erzählungen",NULL,2009
"Der Fall Kaladien und andere Erzählungen","1. Aufl.",2014
"Der falsche Held",NULL,2016
"Der Fälscher","1. Aufl.",2013
"Der farngrüne Tiger","1. Auflage",2020
"Der Feind","1. Aufl.",2014
"Der Ferne so nah",NULL,2010
"Der fette Blinde","1. Auflage",2018
"Der Feuervogel","1. Auflage",2022
"Der Fido ist ein Mensch wie Du und ich und andere Kurzgeschichten",NULL,2009
"Der Fingerzeig und andere merkwürdige Geschichten",NULL,2013
"Der Fisch in der Heizung","1. Auflage",2020
"Der Fleck",NULL,2023
"Der Fleischprogrammierer",NULL,2011
"Der Fleischwurstbaum","1. Auflage",2018
"Der fliegerblaue Pullover",NULL,2011
"Der Fluch des blutroten Gottes","1. Auflage",2018
"Der Fluch des Buckligen","1. Aufl.",2010
"Der Flug des Falken",NULL,2019
"Der Flug des Kolibris","1. Auflage",2023
"Der Fluss",NULL,2018
"Der Fluß aller Dinge",NULL,2008
"Der Fluss und das Meer","Originalausgabe",2023
"Der Frack des Hornisten","1. Auflage",2020
"Der fränkische Moo","1. Auflage Taschenbuch",2016
"Der Frauenkrieg",NULL,2017
"Der Fremde","1. Aufl.",2008
"Der fremde Alltag","1. Auflage",2019
"Der Froschhahn",NULL,2012
"Der Frost, die rote Nase",NULL,2010
"Der Frühling küsst die Liebe wieder wach",NULL,2013
"Der Frühling nähert sich",NULL,2013
"Der Fugentreter","1. Aufl.",2012
"Der Fund",NULL,2021
"Der Fund im Sofa",NULL,2009
"Der Furz in der Flasche und andere Geschichten",NULL,2009
"Der Gänsjakob","1. Auflage",2018
"Der ganz normale Irrsinn","1. Auflage",2019
"Der Garten der Freundschaft","1. Auflage",2020
"DER GARTEN DER STERNE","1. Auflage",2021
"Der Garten meiner Mutter",NULL,2017
"Der Gartenoffizier",NULL,2008
"Der Gärtner war's","1. Aufl.",2013
"Der Geburtstagsengel",NULL,2008
"Der Gedanke",NULL,2009
"Der Gefühlstütenwanderer",NULL,2018
"Der geheimnisvolle Bote","1. Auflage",2014
"Der gehörnte Figaro","1. Auflage",2022
"Der Geist der Mirabelle","1. Aufl.",2013
"Der Geist der Zeche",NULL,2022
"Der Geisterfahrer","1. Aufl.",2013
"Der Geisterzug",NULL,2013
"Der gelbe Hut",NULL,2023
"Der gelbe Wagen und andere Erzählungen",NULL,2015
"Der geraubte Kelch",NULL,2018
"Der Geruch der Erde nach dem Regen","1. Auflage",2018
"Der Geruch der Stille","Dt. Erstausg.",2009
"Der Gerüchtsvollzieher",NULL,2008
"Der Geruch von Glück","Orig.-Ausg., Erstaufl.",2011
"Der gescheiterte Scheiterhaufen","1. Auflage",2021
"Der Geschichten-Koffer","1. Auflage",2018
"Der gestohlene Bazillus","1. Auflage",2019
"Der geteilte Hund",NULL,2021
"Der Gewinn",NULL,2018
"Der Glanz von M.","Orig.-Ausg.",2011
"Der Glaube an Übersinnliches","1. Aufl.",2015
"Der Glücksdrachen, Sammlung","1. Auflage",2019
"Der Gott der kleinen Hunde","1. Auflage",2019
"Der Gott hinter dem Fenster",NULL,2015
"Der gottlose Gottesdienst","1. Auflage",2021
"Der große Fang",NULL,2011
"Der große Heinz Erhardt",NULL,2011
"Der große Knall",NULL,2009
"Der große Tag","1. Auflage",2020
"Der größte aller Superhelden und 77 weitere Kurzgeschichten","1. Auflage",2020
"Der größte Orgasmus auf dem Balkan",NULL,2015
"Der Großvater und der Tod","1. Auflage",2023
"Der Grottenolm oder Gott auf dem Fahrrad",NULL,2010
"Der grüne Komet","1. Aufl.",2015
"Der grüne Planet",NULL,2020
"Der Gummibaum und seine Kinder und andere Geschichten","1. Auflage",2016
"Der Gurkenmann und andere Geschichten","Erste Auflage",2015
"Der gute Ergard und andere Kurzgeschichten","1. Auflage",2019
"Der gute Hilfs-Nikolaus","1. Auflage",2019
"Der Gynäkologe",NULL,2023
"Der Gynäkologe des Vatikans und andere römische Geschichten",NULL,2010
"Der Hai im Lech","Erstausg.",2010
"Der halbe Mann und andere Geschichten","1. Auflage",2021
"Der Hals der Sängerin","Erstausg.",2012
"Der Haschischklub","1. Aufl.",2015
"Der Haubentaucher",NULL,2008
"Derheeme, ein besonderes Jahrbuch",NULL,2022
"Der Heiland aus dem Glasturm","1. Aufl.",2016
"Der heilende Jade-Buddha und andere Märchen und Geschichten für Kinder und Erwachsene",NULL,2017
"Der Heiligenscheinorgasmus und andere Erzählungen",NULL,2016
"Der Heilmacher","1. Auflage",2023
"Derheimä",NULL,2013
"Der heitere Geist sei mit euch",NULL,2015
"Der Hellseherkorporal und andere Geschichten aus der Fremdenlegion",NULL,2013
"Der Herr aus Glas","Erstausgabe, 2. Auflage",2015
"Der Herr der Finsternis",NULL,2009
"Der Herr ist mein Hirte",NULL,2015
"Der Herzog von Dodendorf","1. Aufl.",2010
"Der Hexenbrenner","1. Auflage",2019
"Der Hexer von Kyburg",NULL,2010
"Der Hiatabua","1. Aufl.",2012
"Der Hiddenseer Knopf ... und andere Erzählungen","1. Auflage",2023
"Der Himmel aber ist immer blau","1. Auflage",2021
"Der Himmel bis zur Erde","Erste Auflage",2022
"Der Himmel - das sind die Anderen","1. Auflage",2019
"Der Himmel im Kopf","1. Auflage",2023
"Der Himmelspfeifer","1. Aufl.",2008
"Der Hirt","1. Auflage",2018
"Der Hof","1. Auflage",2021
"Der hohe Gast aus Tokio und andere Geschichten","1. Aufl.",2013
"Der Holzschnitzer",NULL,2015
"Der Homo sapiens im Alltag","1. Auflage",2020
"Der Honig Jäger",NULL,2016
"Der Hühnerkrieg",NULL,2013
"Der humpelnde Rollator","1. Auflage",2017
"Der Hund",NULL,2020
"Der Hundeausführroboterausführhund und andere Erzählungen",NULL,2022
"Der Hungerturm","1. Auflage",2020
"Der hustende Fisch",NULL,2014
"De Riesenzichache",NULL,2008
"Der indische Koffer und andere Geschichten","1. Aufl.",2011
"Der inszenierte Alltag",NULL,2020
"Der irre Chirurg oder In den Händen eines Wahnsinnigen",NULL,2019
"Der Irrtum des Hexers und weitere Kurzgeschichten","1. Auflage",2018
"Der Irrtum des Sengoku","1. Auflage",2019
"Der japanische Junge","1. Aufl.",2012
"DER JAZZ, DER SEX UND DER TOD","1. Auflage",2021
"Der Johann und andere Geschichten aus Koblenz",NULL,2020
"Der Jude, der am Sabbat nicht betet","1. Auflage",2018
"Der Junge, der Asta Nielsen sah","1. Auflage",2019
"Der Junge der das Schreiben lernte","1. Auflage",2020
"Der Junge, der den Hauptbahnhof Zürich in die Luft sprengte",NULL,2020
"Der junge Herr Godeau am Karfreitag","1. Auflage",2018
"Der junge Schweighard",NULL,2010
"Der Junge von damals",NULL,2010
"Der Jungfuchs im Dachsbau und weitere humorvolle Geschichten - fast ganz ohne Jägerlatein","Orig.-Ausg.",2011
"Der Junggeselle","1. Auflage",2017
"Der Kaiserstuhl ist nicht zum Draufsitzen!","Orig.-Ausg.",2010
"Der Kalligraph von Lanzhou und andere Kurzgeschichten",NULL,2022
"Der Kampf der Mähdrescher","1. Aufl.",2008
"Der Kampfschwimmer","1. Auflage",2019
"Der Kardinal",NULL,2009
"Der Kaschmirschal und andere Erzählungen",NULL,2011
"Der Käsekuchenmann und weitere mehr oder weniger wahre Kurzgeschichten","1. Auflage",2020
"Der Kasten unter der Wiese",NULL,2010
"Der Katastrophenbaumeister",NULL,2008
"Der katzegorische Imperativ","1. Aufl.",2013
"Der Katzenfänger und andere Grenzgänger",NULL,2020
"Der Kauz","1. Auflage",2017
"Der Kerl im Mann","1. Auflage",2020
"Der Kipod",NULL,2013
"Der Kirschbaum","1. Auflage",2015
"Der Kirtagspoet und andere Erzählungen",NULL,2018
"Der Klang der Blicke","1. Aufl.",2012
"Der klassische Adventskalender","Orig.-Ausg.",2013
"Der kleine Bär","1. Auflage",2015
"Der kleine Deuml","1. Auflage",2019
"Der Kleine Erfurter erzählt","1. Auflage",2018
"Der kleine Gatsby, Honor Blood, Indianer Joneson und das Rad der Scheiße",NULL,2023
"Der Kleine Hauch","1. Auflage",2023
"Der kleine Herr Lu Chi",NULL,2021
"Der kleine Junge","1. Auflage",2019
"Der kleine Mord","1. Auflage",2017
"Der kleine Muck hat Großes vor",NULL,2017
"Der kleine Osterspaziergang",NULL,2019
"Der kleine Pausen - Snack","1. Aufl.",2010
"Der kleine Prinz und der Mond",NULL,2015
"Der kleine Troubadour","1. Auflage",2015
"Der Kleine und andere Geschichten aus der Kindheit",NULL,2009
"Der kleine Vogel von Hiroshima","1. Auflage",2021
"Der kleine Weihnachtsbegleiter","Orig.-Ausg.",2009
"Der kleinste Stern",NULL,2009
"Der Klopfer","1. Auflage",2008
